Target,"Tool name","Scan date","Risk level","Vulnerability name","How to reproduce","Vulnerability description","Risk description",Recommendation,"Test description","Test finished",Port,Protocol,Service,CVE,CVSS,CWE,OWASP2017,OWASP2021
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Medium,"Insecure cookie setting: domain too loose",N/A,"We found that the target application sets cookies with a domain scope that is too broad. Specifically, cookies intended for use within a particular application are configured in such a way that they can be accessed by multiple subdomains of the same primary domain.","The risk is that a cookie set for example.com may be sent along with the requests sent to dev.example.com, calendar.example.com, hostedsite.example.com. Potentially risky websites under your main domain may access those cookies and use the victim session from the main site.","The <code>Domain</code> attribute should be set to the origin host to limit the scope to that particular server. For example if the application resides on server app.mysite.com, then it should be set to <code>Domain=app.mysite.com</code>","Checking for domain too loose set for cookies...",True,N/A,N/A,N/A,N/A,N/A,CWE-614,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Medium,"Insecure cookie setting: domain too loose",N/A,"We found that the target application sets cookies with a domain scope that is too broad. Specifically, cookies intended for use within a particular application are configured in such a way that they can be accessed by multiple subdomains of the same primary domain.","The risk is that a cookie set for example.com may be sent along with the requests sent to dev.example.com, calendar.example.com, hostedsite.example.com. Potentially risky websites under your main domain may access those cookies and use the victim session from the main site.","The <code>Domain</code> attribute should be set to the origin host to limit the scope to that particular server. For example if the application resides on server app.mysite.com, then it should be set to <code>Domain=app.mysite.com</code>","Checking for domain too loose set for cookies...",True,N/A,N/A,N/A,N/A,N/A,CWE-614,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Low,"Missing security header: Content-Security-Policy",N/A,"We noticed that the target application lacks the Content-Security-Policy (CSP) header in its HTTP responses. The CSP header is a security measure that instructs web browsers to enforce specific security rules, effectively preventing the exploitation of Cross-Site Scripting (XSS) vulnerabilities.","The risk is that if the target application is vulnerable to XSS, lack of this header makes it easily exploitable by attackers.","Configure the Content-Security-Header to be sent with each HTTP response in order to apply the specific policies needed by the application.","Checking for missing HTTP header - Content Security Policy...",True,N/A,N/A,N/A,N/A,N/A,CWE-693,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Low,"Missing security header: Content-Security-Policy",N/A,"We noticed that the target application lacks the Content-Security-Policy (CSP) header in its HTTP responses. The CSP header is a security measure that instructs web browsers to enforce specific security rules, effectively preventing the exploitation of Cross-Site Scripting (XSS) vulnerabilities.","The risk is that if the target application is vulnerable to XSS, lack of this header makes it easily exploitable by attackers.","Configure the Content-Security-Header to be sent with each HTTP response in order to apply the specific policies needed by the application.","Checking for missing HTTP header - Content Security Policy...",True,N/A,N/A,N/A,N/A,N/A,CWE-693,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Low,"Missing security header: X-Content-Type-Options",N/A,"We noticed that the target application's server responses lack the <code>X-Content-Type-Options</code> header. This header is particularly important for preventing Internet Explorer from reinterpreting the content of a web page (MIME-sniffing) and thus overriding the value of the Content-Type header.","The risk is that lack of this header could make possible attacks such as Cross-Site Scripting or phishing in Internet Explorer browsers.","We recommend setting the X-Content-Type-Options header such as <code>X-Content-Type-Options: nosniff</code>.","Checking for missing HTTP header -  X-Content-Type-Options...",True,N/A,N/A,N/A,N/A,N/A,CWE-693,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Low,"Missing security header: X-Content-Type-Options",N/A,"We noticed that the target application's server responses lack the <code>X-Content-Type-Options</code> header. This header is particularly important for preventing Internet Explorer from reinterpreting the content of a web page (MIME-sniffing) and thus overriding the value of the Content-Type header.","The risk is that lack of this header could make possible attacks such as Cross-Site Scripting or phishing in Internet Explorer browsers.","We recommend setting the X-Content-Type-Options header such as <code>X-Content-Type-Options: nosniff</code>.","Checking for missing HTTP header -  X-Content-Type-Options...",True,N/A,N/A,N/A,N/A,N/A,CWE-693,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Low,"Server software and technology found",N/A,"We noticed that server software and technology details are exposed, potentially aiding attackers in tailoring specific exploits against identified systems and versions.","The risk is that an attacker could use this information to mount specific attacks against the identified software type and version.","We recommend you to eliminate the information which permits the identification of software platform, technology, server and operating system: HTTP server headers, HTML meta information, etc.","Checking for website technologies...",True,N/A,N/A,N/A,N/A,N/A,N/A,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Low,"Server software and technology found",N/A,"We noticed that server software and technology details are exposed, potentially aiding attackers in tailoring specific exploits against identified systems and versions.","The risk is that an attacker could use this information to mount specific attacks against the identified software type and version.","We recommend you to eliminate the information which permits the identification of software platform, technology, server and operating system: HTTP server headers, HTML meta information, etc.","Checking for website technologies...",True,N/A,N/A,N/A,N/A,N/A,N/A,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Low,"Robots.txt file found",N/A,"We found the robots.txt on the target server. This file instructs web crawlers what URLs and endpoints of the web application they can visit and crawl. Website administrators often misuse this file while attempting to hide some web pages from the users.","There is no particular security risk in having a robots.txt file. However, it's important to note that adding endpoints in it should not be considered a security measure, as this file can be directly accessed and read by anyone.","We recommend you to manually review the entries from robots.txt and remove the ones which lead to sensitive locations in the website (ex. administration panels, configuration files, etc).","Checking for robots.txt file...",True,N/A,N/A,N/A,N/A,N/A,N/A,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Low,"Robots.txt file found",N/A,"We found the robots.txt on the target server. This file instructs web crawlers what URLs and endpoints of the web application they can visit and crawl. Website administrators often misuse this file while attempting to hide some web pages from the users.","There is no particular security risk in having a robots.txt file. However, it's important to note that adding endpoints in it should not be considered a security measure, as this file can be directly accessed and read by anyone.","We recommend you to manually review the entries from robots.txt and remove the ones which lead to sensitive locations in the website (ex. administration panels, configuration files, etc).","Checking for robots.txt file...",True,N/A,N/A,N/A,N/A,N/A,N/A,"A6 - Security Misconfiguration","A5 - Security Misconfiguration"
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Website is accessible.",N/A,"Website is accessible.",N/A,N/A,"Starting the scan...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Website is accessible.",N/A,"Website is accessible.",N/A,N/A,"Starting the scan...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for vulnerabilities of server-side software.",N/A,"Nothing was found for vulnerabilities of server-side software.",N/A,N/A,"Checking for vulnerabilities of server-side software...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for vulnerabilities of server-side software.",N/A,"Nothing was found for vulnerabilities of server-side software.",N/A,N/A,"Checking for vulnerabilities of server-side software...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for client access policies.",N/A,"Nothing was found for client access policies.",N/A,N/A,"Checking for client access policies...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for client access policies.",N/A,"Nothing was found for client access policies.",N/A,N/A,"Checking for client access policies...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for absence of the security.txt file.",N/A,"Nothing was found for absence of the security.txt file.",N/A,N/A,"Checking for absence of the security.txt file...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for absence of the security.txt file.",N/A,"Nothing was found for absence of the security.txt file.",N/A,N/A,"Checking for absence of the security.txt file...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for use of untrusted certificates.",N/A,"Nothing was found for use of untrusted certificates.",N/A,N/A,"Checking for use of untrusted certificates...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for use of untrusted certificates.",N/A,"Nothing was found for use of untrusted certificates.",N/A,N/A,"Checking for use of untrusted certificates...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for enabled HTTP debug methods.",N/A,"Nothing was found for enabled HTTP debug methods.",N/A,N/A,"Checking for enabled HTTP debug methods...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for enabled HTTP debug methods.",N/A,"Nothing was found for enabled HTTP debug methods.",N/A,N/A,"Checking for enabled HTTP debug methods...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for enabled HTTP OPTIONS method.",N/A,"Nothing was found for enabled HTTP OPTIONS method.",N/A,N/A,"Checking for enabled HTTP OPTIONS method...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for enabled HTTP OPTIONS method.",N/A,"Nothing was found for enabled HTTP OPTIONS method.",N/A,N/A,"Checking for enabled HTTP OPTIONS method...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for secure communication.",N/A,"Nothing was found for secure communication.",N/A,N/A,"Checking for secure communication...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for secure communication.",N/A,"Nothing was found for secure communication.",N/A,N/A,"Checking for secure communication...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for directory listing.",N/A,"Nothing was found for directory listing.",N/A,N/A,"Checking for directory listing...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for directory listing.",N/A,"Nothing was found for directory listing.",N/A,N/A,"Checking for directory listing...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for missing HTTP header - Strict-Transport-Security.",N/A,"Nothing was found for missing HTTP header - Strict-Transport-Security.",N/A,N/A,"Checking for missing HTTP header - Strict-Transport-Security...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for missing HTTP header - Strict-Transport-Security.",N/A,"Nothing was found for missing HTTP header - Strict-Transport-Security.",N/A,N/A,"Checking for missing HTTP header - Strict-Transport-Security...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for missing HTTP header - Referrer.",N/A,"Nothing was found for missing HTTP header - Referrer.",N/A,N/A,"Checking for missing HTTP header - Referrer...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for missing HTTP header - Referrer.",N/A,"Nothing was found for missing HTTP header - Referrer.",N/A,N/A,"Checking for missing HTTP header - Referrer...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for HttpOnly flag of cookie.",N/A,"Nothing was found for HttpOnly flag of cookie.",N/A,N/A,"Checking for HttpOnly flag of cookie...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for HttpOnly flag of cookie.",N/A,"Nothing was found for HttpOnly flag of cookie.",N/A,N/A,"Checking for HttpOnly flag of cookie...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for Secure flag of cookie.",N/A,"Nothing was found for Secure flag of cookie.",N/A,N/A,"Checking for Secure flag of cookie...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for Secure flag of cookie.",N/A,"Nothing was found for Secure flag of cookie.",N/A,N/A,"Checking for Secure flag of cookie...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for unsafe HTTP header Content Security Policy.",N/A,"Nothing was found for unsafe HTTP header Content Security Policy.",N/A,N/A,"Checking for unsafe HTTP header Content Security Policy...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for unsafe HTTP header Content Security Policy.",N/A,"Nothing was found for unsafe HTTP header Content Security Policy.",N/A,N/A,"Checking for unsafe HTTP header Content Security Policy...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
